,nta_code,pop,households,age_less_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_plus,median_hh_income,hh_income_less_10,hh_income_10_to_15,hh_income_15_to_25,hh_income_25_to_35,hh_income_35_to_50,hh_income_50_to_75,hh_income_75_to_100,hh_income_100_to_150,hh_income_150_to_200,hh_income_200_plus,below_poverty,edu_none,edu_high_school,edu_college,commute_walk,commute_public,commute_car,health_insurance_coverage,disability,not_us_citizen,lang_spanish,lang_chinese,lang_russian,lang_indic,lang_french_creole,lang_korean,homeval_less_50,homeval_50_to_100,homeval_100_to_150,homeval_150_to_200,homeval_200_to_300,homeval_300_to_500,homeval_500_to_1m,homeval_1m_plus,rent_less_500,rent_500_to_1000,rent_1000_to_1500,rent_1500_to_2000,rent_2000_to_2500,rent_2500_to_3000,rent_3000_plus,average_hh_size
0,BX31,28903,9587,1679,1706,1763,2039,1964,1703,1798,1654,1937,2203,2027,1785,1619,5026,61638,836,348,797,773,1160,1764,1155,1562,765,427,4208,4897,6041,8027,724,5731,6722,28157,3824,4148,2276,183,26,89,94,0,116,26,84,10,272,2929,1644,85,597,692,1314,1092,413,42,0,3.26
1,SI01,27770,9885,1397,1698,1817,1880,1720,1594,1487,1814,2073,2274,2246,1961,1869,3940,88288,467,253,571,405,1008,1523,1346,2075,1086,1151,1572,1524,6659,8249,128,3020,9604,28089,2705,711,81,151,529,32,0,72,77,52,8,19,138,2917,4694,289,40,564,473,173,177,47,31,2.85
2,SI48,25238,8960,1507,1540,1596,1752,1614,1561,1726,1828,1914,1892,1910,1945,1763,2690,89570,304,256,337,516,707,1421,1611,2021,1047,740,1838,1428,5611,7597,26,2787,8841,25510,2201,698,196,328,155,21,0,121,170,104,85,36,934,3948,2583,51,23,313,575,81,109,0,59,2.91
3,QN70,78793,34310,3480,3037,3060,3392,6630,11586,9252,6843,5633,4944,4599,4018,3373,8946,54882,2772,1782,3673,2816,4725,6463,4557,4698,1627,1197,11426,9366,11861,33054,2950,33055,6415,66199,7225,15384,8506,1177,202,1099,9,642,110,87,30,166,738,1176,2508,391,1818,3600,9067,9485,3421,665,331,2.25
4,QN48,19996,7122,917,966,1063,1168,1214,1307,1296,1336,1451,1557,1659,1560,1326,3176,70772,270,349,445,632,690,1417,1060,1237,589,433,1293,2209,3933,7101,180,3390,5760,18509,1536,3116,735,3152,39,34,21,1538,51,28,64,54,88,487,3694,240,4,131,686,854,292,16,52,2.97
5,QN76,34603,10730,2198,2389,2569,2923,2699,2430,2264,2191,2414,2763,2585,2013,1469,3696,59357,637,385,820,941,1575,2186,1532,1718,629,307,5428,4461,9097,6521,528,8373,8114,34964,4413,6015,1261,80,0,256,328,5,223,73,109,144,1322,4207,954,58,321,682,1311,1012,353,66,9,3.54
6,BK27,29931,11125,1766,1668,1672,1581,1922,2234,2308,2241,2006,2080,2097,1930,1653,4773,55193,897,768,1091,932,1407,2016,1176,1606,711,521,4722,5472,6188,9676,679,8306,4909,29449,3417,6239,2022,5716,2152,92,0,56,39,81,44,66,270,469,2873,624,411,1131,3227,1667,216,29,31,2.88
7,MN25,39699,21216,2272,1055,691,1453,5203,7559,5978,4206,2823,1945,1589,1398,1182,2345,125434,1197,420,800,609,960,1909,2416,3878,2377,6650,3557,1018,1262,29509,9138,16429,1489,43647,1702,7444,465,891,169,0,23,175,418,0,16,14,39,779,1593,2099,380,788,404,607,2008,4474,8051,2.01
8,BK31,78607,34991,4571,3998,3772,3802,4700,7214,6738,6207,5718,5618,5541,5090,4340,11298,57980,2654,1864,3575,3067,4056,5848,4154,4869,2498,2406,12266,8006,11165,30756,3442,21679,10908,72049,8024,10422,3292,4111,1934,411,22,492,344,185,391,349,1473,1598,5588,2130,869,2379,9708,5878,1434,321,262,2.36
9,QN46,43808,16008,2106,2199,2353,2694,2504,2832,2935,3014,3158,3569,3531,3197,2698,7018,79120,578,494,1284,1073,1680,2506,2360,3047,1710,1276,3256,3789,7392,17132,712,6637,13574,40362,3825,6120,1692,5218,77,135,0,3446,147,140,106,353,528,1087,7061,683,34,379,1549,2070,827,159,98,2.83
10,BK75,70713,24920,6850,6109,5426,5390,6377,7007,6183,4818,4308,4060,3686,2771,2343,5385,37343,3682,2296,3129,2803,3263,3605,2079,2447,1055,561,25742,9699,11608,16621,4258,20058,4393,68299,7623,6832,4888,235,75,124,226,23,68,130,56,64,117,592,2344,1453,3728,5102,4681,3907,2280,537,441,2.86
11,BX05,54415,18636,4517,4183,4058,4623,4693,4663,4262,3854,3830,3786,3490,2724,2029,3703,29549,3096,2319,3041,2063,2431,2728,1583,1077,149,149,18637,11024,9913,7154,2218,15609,4201,47888,6680,13343,13921,93,0,304,19,254,63,16,87,130,82,313,168,0,2013,3275,9392,3013,326,75,56,2.88
12,QN43,25287,8252,1347,1374,1485,1659,1674,1726,1687,1567,1769,1960,2236,1926,1490,3387,77863,387,233,565,462,1009,1322,1292,1608,860,514,2952,2226,5934,7532,296,3317,8011,24137,2446,3425,1671,242,27,1546,32,142,92,77,127,429,422,2023,2657,37,92,137,949,724,177,53,4,3.18
13,BX06,27378,8643,2076,2073,1969,3458,3937,2157,1846,1761,1580,1622,1229,966,756,1948,21924,1993,1202,1648,1215,836,950,366,329,90,14,11804,4947,4144,2823,1809,5829,1720,24744,3709,6432,6273,13,18,0,0,56,49,34,14,0,75,263,45,0,1433,2272,3303,1268,120,14,24,2.9
14,BK29,62978,21974,3578,3377,3360,3528,4381,4924,4743,4400,4354,4613,4639,4214,3619,9248,45108,2094,1386,2787,2409,3075,3870,2451,2379,887,636,12380,11556,12871,17150,2071,17519,7387,56883,6687,15438,3372,13573,6780,48,0,72,159,126,59,63,138,1132,5314,658,1100,2386,7773,2188,265,122,21,2.89
15,BK28,88727,30027,5104,4905,5038,5405,6731,6877,6398,6130,5974,6686,6283,5674,4955,12567,46137,2431,2079,3878,3132,4323,5362,3281,3496,1221,824,16707,18286,18127,21855,3477,24678,10882,80592,10144,22669,6127,20523,6159,145,0,59,177,227,171,239,435,1192,6280,1612,966,3055,10128,3709,764,97,61,3.04
16,BK88,106357,28130,14703,11971,10024,9094,8640,7872,6829,5599,4171,4033,4622,4670,4319,9810,35754,2252,2878,4893,3850,3711,4098,2136,2486,1043,783,40318,14659,20165,12241,9835,13286,10155,96782,8765,13034,6103,7154,1603,598,1,49,75,154,49,0,306,601,4906,2469,953,2952,7430,4635,1637,155,189,3.82
17,QN10,28018,10866,1454,1595,1574,1684,1385,1473,1400,1646,1894,2250,2427,2281,1956,4999,74718,518,568,771,829,992,1774,1698,1942,942,832,1856,2196,4604,9471,409,3117,7810,25800,4487,1224,652,112,147,21,27,25,342,117,150,83,403,1655,3277,444,141,1039,1885,892,189,29,20,2.46
18,QN35,39138,13735,2418,2049,1992,2367,2947,3337,3430,2970,2806,2704,2740,2407,2061,4910,58564,892,453,1510,1180,1802,2948,1526,2268,821,335,6426,5174,6442,14440,1354,12179,6615,34984,4106,10026,4545,914,1085,3582,70,179,90,155,400,712,929,1218,1884,52,146,789,3796,3055,624,9,12,2.88
19,BK19,35547,14145,1780,1526,1514,1728,2221,2393,2154,2026,2130,2331,2584,2427,2701,8032,30872,3054,1385,1585,1509,1263,1728,1114,1228,614,665,9099,3306,6344,13172,1733,7333,3973,30103,6215,7678,2077,705,11944,199,0,49,86,135,192,142,461,751,2176,437,1976,1823,3873,1397,215,184,15,2.4
20,BX07,35538,13361,2458,2311,2404,2600,2629,2953,2636,2389,2491,2546,2364,1960,1575,4222,36859,2283,1192,1742,1199,1890,2128,1615,1018,238,56,10290,7246,7189,6332,1162,8889,4200,31534,6184,6777,7168,70,223,171,47,44,232,162,67,205,261,666,273,0,2125,2991,5128,1228,179,47,0,2.69
21,BK09,22887,11036,1300,695,499,941,1628,2519,2885,2334,1871,1392,1233,1308,1233,3049,105398,505,356,657,606,760,1225,1187,1791,1173,2776,2291,562,1739,15059,1474,9649,744,22511,1930,2168,348,223,24,0,7,56,117,42,28,17,204,922,1737,1750,246,484,807,1303,997,798,1385,1.88
22,BK81,58300,21030,4490,4569,5049,5864,4963,4019,3670,3530,3765,3885,3747,2813,2469,5467,25041,4850,2594,3059,2654,2667,2561,1423,818,258,146,23424,10337,13224,6896,1272,13480,3846,54105,8236,7870,3921,205,8,60,624,45,267,74,43,34,471,1612,536,16,6490,5038,4843,1539,229,27,28,2.58
23,BK77,57138,19191,4304,3894,3637,4177,6247,6884,5509,4552,3870,3450,2891,2328,1858,3537,42296,2500,1085,2503,2121,2901,3322,1928,1889,624,318,18191,15301,7868,10592,2834,21870,3388,45331,4427,17585,19172,889,37,97,145,64,45,78,42,17,179,544,1006,112,857,2887,6728,4260,1182,623,378,3.09
24,BK78,72101,25575,4838,4712,5004,5619,7712,8016,5968,4658,4575,4536,4027,3272,2768,6396,37285,4206,1833,3539,2621,3407,4421,2418,2171,670,289,20334,15218,12200,14532,2278,24885,4919,61836,7714,12631,15205,579,91,191,292,48,131,88,29,72,353,1182,1809,421,4155,4088,6105,3829,1811,1054,638,2.82
25,QN33,18677,6178,907,977,1064,1291,1225,1081,1100,1133,1294,1495,1393,1249,1170,3298,79888,166,103,325,523,670,1152,767,1451,663,358,751,1347,3999,5894,86,3383,5635,17771,1942,1876,377,61,0,0,503,0,182,93,33,42,293,4045,512,62,46,120,251,204,113,15,0,3.21
26,BK50,83693,28134,5027,5369,5909,6838,6425,5766,5497,5337,5713,6406,6652,5687,4420,8647,60766,2431,1072,2302,2426,3597,5003,4212,4225,1914,952,12877,8645,17259,21372,1272,22604,17119,79770,8274,11484,1628,986,98,31,6383,16,305,170,80,172,710,6159,6269,94,1838,2654,4822,4144,743,31,25,3.04
27,BK33,38353,17786,2748,1942,1620,1577,1885,3986,5030,4188,3376,2603,2099,1821,1606,3872,85496,1834,704,1119,981,1376,2140,1760,2915,1876,3081,5744,4025,4198,20520,2417,14564,2336,39365,4488,3958,2239,393,116,0,23,51,92,51,48,40,197,420,1568,2793,2172,1697,1475,1968,2644,1382,1353,2.31
28,MN03,75282,33896,4762,4478,4658,5569,6248,6490,6059,5204,5730,5636,4975,3964,3203,8306,34413,5743,3214,4387,3855,4489,5414,2715,2139,807,1133,25250,11862,14285,22047,3083,26617,4096,75596,11682,10560,6021,150,28,122,74,7,317,213,0,9,220,758,1037,566,6617,10082,7981,3850,1406,557,339,2.42
29,MN11,43383,18974,2686,2449,2391,2622,3416,4197,3879,3566,3774,3427,3063,2328,1745,3840,48366,2829,1332,1782,1658,2077,2925,1494,2331,1168,1378,13491,5823,7056,17331,1557,18287,1817,45505,4896,6124,2402,414,8,0,103,16,118,103,71,18,235,426,1318,1384,2641,4739,3213,1919,1465,1050,591,2.51
30,SI11,23313,7853,1372,1729,1674,1593,1442,1385,1516,1855,2175,2119,1794,1362,1091,2206,90788,218,368,533,371,610,1097,1155,1708,835,958,1511,1331,4986,7092,69,2107,8381,23272,2023,983,461,157,181,76,1,26,94,82,173,0,216,1778,3742,198,0,330,840,376,92,56,14,3.04
31,MN27,47844,17922,1807,1802,1792,2049,4088,5091,4191,3517,3328,3434,3277,3016,2748,7704,35908,2719,1868,2849,1399,1841,2430,1661,1585,630,940,11521,12635,7059,13221,6034,11069,1763,39445,5363,10237,1796,16622,81,220,9,147,29,11,38,28,44,209,503,321,3255,4847,3245,1757,1680,847,1050,2.34
32,BX01,31078,10299,2890,2816,2769,3113,2658,2325,2012,1836,2078,2095,1830,1293,1070,2293,20461,2594,1744,1760,1211,1083,1193,323,327,56,8,16840,6846,4919,3328,740,7129,1880,31251,5634,5171,7157,0,0,0,0,0,55,54,0,0,60,261,66,0,3599,2567,3334,573,96,0,33,3.09
33,MN15,45884,25095,1299,851,771,1103,4384,7093,5878,4208,3648,3282,3009,2789,2404,5165,73591,1746,1601,1728,2171,2099,3405,2827,4001,1859,3658,5585,2213,3370,28417,11270,14001,1449,41102,4774,7185,2538,963,92,37,0,191,70,57,0,0,299,577,1521,1283,1707,4099,2528,2846,3721,2911,4323,1.64
34,BK69,34791,15178,2231,1566,1288,2126,3561,4290,4199,3330,2439,2005,1715,1483,1406,3152,66282,1268,838,1325,921,1648,2241,2196,2437,1248,1056,6490,2130,3987,16642,1724,13387,2534,35561,2697,3454,1043,118,15,140,307,99,237,46,107,108,367,1202,1671,1575,512,1624,2440,2210,1687,1092,745,2.33
35,BX13,43752,18931,2027,2018,2470,2744,2451,2156,2297,2481,2969,3493,3302,3078,2929,9337,45277,1525,1058,2025,2554,3042,3258,2393,1907,789,380,4959,5136,9877,11700,986,11422,7132,44022,7892,3929,3845,0,186,62,22,116,5061,453,460,445,478,852,271,0,1068,5317,4212,567,201,0,24,2.39
36,QN23,24275,7731,1576,1401,1421,1494,1721,1757,1988,1840,1737,1861,1769,1576,1219,2915,58420,408,187,853,641,1155,1451,1300,1044,427,265,3492,4071,6022,4859,776,4011,5955,20817,1590,6208,4482,3810,18,186,5,731,56,59,14,12,167,1183,2078,79,106,447,1420,1674,277,51,0,3.22
37,QN25,57658,16785,4490,3874,3391,3907,4883,5424,5053,4563,4054,3804,3541,2917,2389,5368,44026,1451,1048,2157,1943,2850,3114,2065,1638,325,194,12049,12343,12164,8329,2501,16508,5847,44906,7055,19571,18271,3243,614,443,59,199,121,122,423,298,406,744,1576,139,893,1347,4826,4200,1228,52,40,3.48
38,BX75,20277,7104,1733,1636,1614,1869,1813,1519,1310,1308,1412,1334,1230,961,773,1765,22557,1749,983,1050,727,937,1063,241,281,53,20,8973,4950,3543,2531,547,5278,1694,19199,2477,4227,3976,22,12,29,9,13,38,21,0,22,20,398,175,0,2157,2036,1849,462,118,9,4,2.87
39,BK61,103169,41641,6871,6338,6786,7495,8844,9779,8460,7198,7141,7060,6782,5473,4504,10438,37104,6423,3683,5231,4543,5901,6692,3927,3466,1089,686,29523,13550,20479,27498,2933,35488,7697,92956,10380,14314,4217,584,198,384,1236,15,136,51,96,68,243,796,3134,1506,5377,9075,11518,6303,2228,1105,528,2.43
40,BK63,39670,14696,3002,2573,2607,2833,3676,3544,2906,2467,2422,2476,2537,2262,1894,4471,41745,1714,1290,1621,1719,2259,2348,1818,1299,335,293,8390,3922,7194,10211,2369,12051,2832,36875,3547,5653,955,0,108,0,1978,45,135,121,58,7,86,162,1058,365,474,2445,6268,2618,568,166,136,2.78
41,BK83,49223,13672,3704,3654,3912,4432,4316,3895,3435,3328,3641,3527,3169,2644,1877,3689,40432,2235,814,1662,1440,2005,2392,1320,1297,311,196,12502,8176,12437,5634,733,13513,5056,42846,3951,10713,8861,692,15,1005,50,21,204,25,134,37,392,2461,1264,81,490,1606,4086,2655,309,13,15,3.44
42,QN45,24739,9562,1086,1303,1423,1280,1173,1217,1355,1591,1709,1955,2000,1965,1842,4840,83749,357,235,523,788,777,1506,1700,1999,880,797,1921,1507,3664,11003,327,3140,7894,23861,2516,2652,823,2241,77,0,2,2397,101,79,358,573,1380,692,3343,1074,0,200,493,479,492,93,97,2.63
43,BK38,34495,16263,2255,1532,1550,1669,2264,3986,4424,3565,2781,2333,1896,1676,1483,3081,84945,1538,802,1351,805,1317,1674,1620,2587,1569,3000,8606,4106,4366,20205,2250,15762,1716,38831,4779,4227,2339,1160,36,0,166,119,32,18,41,40,209,487,1615,2053,2646,2164,987,1275,1773,1621,2401,2.29
44,BK30,42419,15100,2434,2428,2412,2546,2771,3157,3005,2947,3107,3222,3081,2709,2303,6297,54752,875,793,1933,1600,1704,2909,1676,2054,771,785,8005,9017,8975,10535,1914,9941,7380,41240,4436,10275,1370,11085,386,68,9,89,142,101,92,51,119,580,4684,1160,162,1207,4186,1540,382,37,65,3.05
45,BX14,62284,22081,5160,4703,4657,5267,4944,4454,4332,4108,4271,4333,3758,3212,2618,6467,27883,4410,2339,3366,2816,3091,3225,1465,933,333,103,22626,13979,9882,8371,2109,15914,4024,54983,8806,16015,16753,133,0,363,58,9,965,92,66,227,370,680,161,28,3344,4420,9190,1934,265,24,20,2.83
46,QN27,23150,6311,1621,1479,1431,1816,1944,2030,1761,1655,1710,1623,1488,1237,958,2397,51594,527,211,617,730,1004,1173,860,766,295,128,4197,3718,5750,3293,706,5144,3050,16921,1886,6218,6658,170,0,345,68,0,71,23,31,23,67,1006,1371,16,105,518,1199,948,427,68,6,3.48
47,BK91,50355,18127,2827,2828,3231,3569,3610,3681,3379,3287,3204,3635,3714,3572,2954,6864,50889,1451,780,1784,1880,3024,3287,2487,2299,766,369,7169,4703,13233,11896,1070,15365,7316,47639,4210,9947,844,81,1,126,3505,20,160,101,59,104,413,5306,1713,110,207,2094,5815,1667,294,52,33,2.88
48,QN52,26982,8421,1350,1318,1281,1602,2048,2108,1962,1958,1916,2191,2352,1875,1469,3552,55971,732,410,853,739,1151,1329,1080,1386,425,316,4108,5056,5252,7200,936,4986,5553,20048,1998,8415,2420,7575,101,305,4,2599,23,23,39,93,251,288,3005,253,240,658,1263,1454,447,24,0,3.16
49,MN34,58019,23111,3727,3662,3998,4794,5150,4947,4378,3997,3875,3846,3579,2790,2440,6836,26099,5242,2674,3323,2463,2926,2799,1533,1078,628,445,23011,11055,10461,12269,2614,17041,2162,53680,9356,8094,10070,744,27,72,0,28,146,27,19,17,106,515,406,356,7949,6138,4431,1905,900,550,236,2.51
50,MN33,57902,22937,3288,3231,3302,4308,5274,5601,4665,3844,3775,3761,3581,2981,2686,7605,35857,3638,2461,2744,2455,2818,3043,1566,2042,733,1437,15937,9192,8620,18814,4557,16954,1939,52694,7028,8490,7866,1342,28,138,29,187,245,37,25,60,31,193,480,764,5387,5482,4963,2633,1473,775,1241,2.34
51,BK82,91958,31286,6967,7161,7514,8555,7603,6663,5906,5739,6215,6563,5830,4635,4185,8422,32973,6516,2429,3860,3621,4500,4615,2772,2040,578,355,28905,11944,24457,12325,1726,23258,9464,86104,11536,12771,6471,257,74,813,378,14,225,70,186,171,1112,3789,2057,106,4975,6094,8078,4135,809,112,81,2.84
52,BK85,29343,9978,2423,2372,2417,2716,2596,2154,1925,1796,1939,2134,1932,1404,1141,2394,29527,2301,872,1335,871,1380,1301,750,912,194,62,10468,4765,6501,3409,447,7183,2300,26143,3616,4635,2319,55,8,42,171,0,66,22,20,63,126,1401,447,34,1893,1799,2367,1333,246,30,28,2.84
53,BX17,43423,14415,3753,3702,3836,4366,3516,3138,2807,2675,3005,2870,2549,1913,1594,3699,20879,3756,1822,2568,1703,1583,1595,635,581,116,56,19505,10525,6394,4490,1039,9147,2947,39325,6735,7795,9749,91,0,138,10,1,135,95,73,36,86,560,242,0,3692,3813,4178,1296,324,19,0,2.91
54,MN22,44136,22326,862,617,598,3259,7381,7720,5090,3376,2720,2463,2221,2145,1670,4014,72665,2089,888,2072,1524,1702,3160,3057,3201,2155,2478,6247,2289,3246,24444,6470,15038,1160,39281,3082,6424,1073,1229,77,0,2,57,314,27,31,35,33,225,999,837,1055,3907,2453,3201,3897,2407,2743,1.68
55,BK90,34158,15410,1342,1138,1307,1589,3351,5662,4232,2559,2057,1850,1830,1629,1471,4141,50777,1322,1375,1902,1426,1610,2243,1693,2219,1002,618,7140,5663,5614,12664,1337,14432,2451,31963,4295,4789,4085,2223,35,70,0,35,274,27,20,126,104,339,976,690,1725,3148,2428,2268,1672,1014,965,2.23
56,BX03,34517,11261,2225,2436,2568,3194,2684,2344,2064,2016,2413,2724,2398,2018,1755,3678,50334,1290,731,1136,1030,1416,2068,1547,1344,448,251,5999,4234,6143,7967,766,7615,6409,31459,4678,5218,1933,8,0,113,20,0,124,63,6,80,490,2585,937,68,1372,1542,2499,1436,200,11,0,3.04
57,QN29,88427,27648,5588,4970,4432,5050,7265,8837,8030,7333,6804,6510,5908,5022,4079,8599,47863,1977,1657,3492,3376,3767,5673,2617,3172,1037,880,17374,17140,17097,18588,3166,28573,6843,65782,7311,30203,21034,10763,155,4413,70,791,83,99,237,523,1100,1207,3098,215,311,2651,9308,5803,1351,172,106,3.11
58,QN50,25521,8290,1486,1455,1327,1314,1895,2496,2344,2182,1922,1931,1725,1447,1239,2758,55881,512,337,667,849,1307,2047,958,905,302,406,3539,4332,5446,7498,646,8595,3520,20997,1673,9809,4068,4284,15,1275,1,954,148,26,115,50,281,628,1860,170,63,397,1601,1923,608,56,10,3.28
59,BK95,29938,9930,2019,2010,1933,2161,2463,2384,2122,2018,2019,2222,2132,1783,1576,3096,40681,1228,719,1359,1159,1309,1756,1102,837,286,175,5772,3090,7184,5417,689,9030,2208,25213,2021,6536,732,0,0,57,1958,3,87,103,34,71,202,1006,707,52,381,1503,4174,1096,281,35,0,2.85
60,QN15,50058,16341,4557,3846,3661,3939,3659,3674,3324,3009,2945,3003,2967,2792,2214,6468,41916,2730,1268,2197,1239,1696,2505,1831,1607,640,628,10901,9206,7789,10415,1990,7627,10261,47242,8975,6816,5735,342,1227,0,186,47,73,112,131,5,283,2100,1420,85,2275,2424,4705,2091,496,210,84,3.13
61,BK42,105804,37722,7560,6818,6843,7476,8342,8879,8137,7629,7113,7177,7338,6547,5359,10586,45332,4049,2081,4135,4332,5513,7219,4292,3626,1421,1054,21379,14136,19291,28414,3416,32491,9995,94384,10571,21553,8319,664,2274,1735,6951,285,78,90,218,369,573,1319,2556,1526,1119,5240,15845,6619,1686,312,40,2.81
62,BK58,64762,23386,3894,4178,4487,5042,4877,4378,4086,4251,4215,4719,4892,4444,3687,7612,64519,1390,731,1901,2065,3054,4527,3164,3793,1721,1040,7974,6032,13960,19282,1311,17688,13068,66619,5907,9470,1927,260,224,132,5574,0,300,155,201,494,986,6628,4644,207,877,1785,3821,2030,556,57,41,3.14
63,QN22,72008,25739,3236,3044,2739,3474,4861,5393,5182,5347,5746,6333,5951,5077,4124,11501,39840,3192,1924,3905,2788,3407,4443,2427,2266,851,536,18044,14848,15239,18803,5011,14124,11218,53488,5470,29254,5497,29067,577,1394,50,4320,150,90,474,534,2331,1657,1491,121,1107,3580,7419,4632,1059,186,18,2.7
64,BX40,28262,8572,2688,2444,2263,2590,2593,2372,2099,1908,2066,1934,1652,1218,930,1505,22662,1806,1172,1686,951,980,897,645,348,46,41,12720,5933,4657,2814,1193,7249,1781,23409,3723,8264,8630,0,0,0,33,0,12,0,0,0,7,87,0,0,888,1783,4463,1006,251,0,43,3.11
65,QN17,83728,38748,4660,3586,2951,3122,3978,6366,7389,6941,5868,5868,6094,5882,5560,15463,67881,2301,1871,3197,2622,4342,6838,4986,6411,3209,2971,9601,4838,11147,42703,2550,26571,11879,80606,9417,11549,2754,4833,6237,388,132,314,242,331,799,1701,4360,4532,4735,1367,569,2812,6172,6456,2996,831,569,2.19
66,BK68,26079,12062,1548,1116,1163,1674,1932,2986,3067,2472,1808,1566,1378,1192,1179,2998,61990,1240,769,1142,1052,1169,1443,1619,1811,875,942,6790,3889,3584,11291,1442,9997,1699,27051,3414,3293,1857,1050,26,0,66,17,116,69,12,0,136,574,997,1187,2050,1930,1740,1135,1026,654,762,2.25
67,QN41,17812,6538,1032,1048,962,1046,1109,1193,1107,1291,1291,1423,1403,1236,1153,2518,69525,468,282,433,522,809,994,1136,1011,462,421,2427,1452,2681,7180,271,3163,4853,16606,1462,3079,830,2320,175,1,0,1714,47,16,32,235,142,129,2150,153,73,204,1039,1557,616,100,82,2.8
68,QN47,21751,10016,986,827,847,871,809,1042,1325,1307,1412,1511,1726,1647,1685,5756,71784,625,277,916,707,946,1744,1328,1754,1019,700,1562,1658,3830,9475,227,2860,6216,21098,3095,2450,72,1200,52,0,0,1065,154,57,203,635,1530,1293,2639,327,143,291,362,681,1097,163,86,2.23
69,BK45,45231,16906,2976,3112,2957,2741,2612,2562,2723,2966,2997,3201,3502,3140,3066,6676,72158,789,530,1262,1443,2003,2714,2385,3165,1505,1110,3155,2957,9567,14992,1023,6904,12887,45481,4353,2732,957,804,1798,223,357,52,266,161,181,115,284,3435,7166,577,46,617,1894,1312,428,73,30,2.86
70,QN44,22571,9127,845,857,967,1160,1176,1379,1402,1226,1293,1566,1672,1734,1537,5757,76863,331,286,740,635,1052,1418,1361,1938,773,593,1401,1711,4972,9044,290,2341,7634,21209,3101,1731,406,253,6,606,0,19,97,38,126,629,1418,1504,2974,235,44,367,518,684,157,123,0,2.47
71,QN19,32496,11586,1941,1890,1998,2149,2175,2381,2391,2313,2476,2543,2407,2000,1671,4161,64178,783,418,1211,913,1376,2063,1887,1828,697,410,3106,3518,8578,7383,923,7826,7397,31161,2782,4306,1836,224,138,0,0,16,80,32,42,60,196,2382,2994,55,139,911,2913,1575,168,59,21,2.87
72,MN21,27988,14734,708,445,380,1794,3626,4811,3339,2207,1640,1451,1445,1375,1498,3269,100900,921,348,715,587,894,2044,1810,2325,2049,3041,2054,408,1133,17845,4875,9904,798,26547,1616,2669,212,260,18,30,0,60,130,39,16,73,248,804,2601,1265,438,565,1458,1070,1519,1342,2390,1.74
73,SI14,16079,5559,937,990,1025,1023,1070,1070,1037,1055,1096,1214,1309,1102,1005,2146,69127,520,234,400,444,578,782,787,1197,362,255,1962,1274,2958,5099,221,2589,3892,14417,1789,1365,618,495,789,0,15,74,76,47,19,0,184,2130,989,71,475,390,581,328,161,28,22,2.76
74,BK26,29436,11264,1703,1543,1544,1912,2012,2151,1840,1885,1738,2075,2088,1972,1958,5015,35550,1565,1092,1631,1278,1453,1931,825,978,318,193,6486,4629,5697,8198,912,6602,3867,27230,4512,4537,1255,3763,3814,109,126,32,78,97,26,140,477,1020,1786,188,1713,1813,2601,966,194,28,20,2.66
75,SI54,40720,15618,2227,2389,2582,2657,2408,2360,2389,2697,2972,3319,3342,2872,2633,5873,88868,458,431,1107,904,1266,2357,2318,3630,1997,1150,3166,2256,10523,12502,259,5186,14289,41597,4286,2292,351,563,743,12,1,60,275,201,116,92,858,6934,4145,144,15,331,999,742,265,175,33,2.81
76,BK76,34719,15491,1199,970,959,1158,2834,6125,5128,3086,2217,1915,2141,1964,1624,3399,67928,1185,641,1267,1161,1537,2613,2504,2797,974,812,4089,2501,4685,16806,1732,14071,2874,28998,2504,4601,981,218,105,80,0,9,63,62,79,54,154,407,1587,740,466,1291,2386,3714,2532,1413,751,2.09
77,SI08,22460,7651,1494,1446,1449,2195,2315,1681,1441,1432,1477,1675,1524,1315,1061,1955,52788,915,270,623,726,1154,1216,734,1325,374,314,4688,2025,3388,5513,313,3614,4670,19625,1868,2569,1287,569,174,107,0,23,114,22,114,163,729,1375,863,123,974,723,1679,475,126,0,0,2.69
78,MN04,48520,18761,2668,2388,2523,3232,4776,5219,4245,3515,3424,3384,3125,2687,2183,5151,39019,3099,1305,2225,2117,2335,2852,1940,1714,524,650,13272,9749,7845,14431,1528,20529,2381,44547,5772,10453,10926,358,0,0,186,0,335,249,29,205,402,510,304,506,1752,4164,5014,2877,1185,718,301,2.7
79,QN12,36885,12537,2853,2834,2933,3106,2743,2375,2545,2439,2502,2634,2336,2001,1737,3847,39432,1861,912,1490,1446,1783,1912,1102,1394,395,242,9683,5992,6669,6906,517,6944,6273,34565,7110,4140,2967,250,330,98,117,52,796,103,101,172,688,1612,733,18,2448,3072,1779,973,268,40,26,2.86
80,BX26,37727,12931,3251,3091,3012,3367,3103,2909,2751,2515,2732,2780,2303,1785,1434,2694,23334,2512,1572,2734,1630,1668,1501,690,508,62,54,15591,7996,6115,4606,1105,9320,3217,33878,6591,9056,9952,56,0,3,21,0,53,49,40,69,24,218,77,6,1722,3867,5373,1240,115,0,15,2.91
