,nta_code,pop,households,age_less_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_plus,median_hh_income,hh_income_less_10,hh_income_10_to_15,hh_income_15_to_25,hh_income_25_to_35,hh_income_35_to_50,hh_income_50_to_75,hh_income_75_to_100,hh_income_100_to_150,hh_income_150_to_200,hh_income_200_plus,below_poverty,edu_none,edu_high_school,edu_college,commute_walk,commute_public,commute_car,health_insurance_coverage,disability,not_us_citizen,lang_spanish,lang_chinese,lang_russian,lang_indic,lang_french_creole,lang_korean,homeval_less_50,homeval_50_to_100,homeval_100_to_150,homeval_150_to_200,homeval_200_to_300,homeval_300_to_500,homeval_500_to_1m,homeval_1m_plus,rent_less_500,rent_500_to_1000,rent_1000_to_1500,rent_1500_to_2000,rent_2000_to_2500,rent_2500_to_3000,rent_3000_plus,average_hh_size
136,QN34,52504,15941,2981,2937,3360,3899,4004,3683,3508,3289,3691,4026,4107,3517,2991,6511,71313,768,565,1318,1196,1803,2750,2670,2921,1385,565,5842,6312,12431,12543,392,11068,14025,48971,4764,7830,3027,261,22,1020,2412,63,218,40,13,111,613,7521,1873,93,169,524,2194,1445,260,59,15,3.51
137,QN62,20800,6283,1100,1066,1043,1151,1554,1631,1502,1473,1553,1750,1708,1438,1210,2621,53836,421,179,629,824,793,1506,592,774,284,281,3041,4634,4570,4686,300,3626,5101,17126,1459,6162,1844,8193,0,41,19,134,63,65,11,8,46,749,2298,263,6,307,1002,732,284,17,34,3.55
138,QN68,20030,7423,1304,1273,1291,1568,1656,2068,1628,1399,1426,1349,1254,1005,897,1912,28378,1350,908,1152,852,805,860,723,448,194,131,6297,3262,3967,4038,796,5698,1162,16601,2334,3694,3198,526,9,902,30,240,20,16,5,15,26,60,344,28,2752,1652,1204,915,318,204,152,2.39
139,QN18,28260,12336,1437,1214,1172,1204,1597,2193,2297,2162,1942,2061,2160,2120,1959,4742,50871,999,508,1441,1140,1997,2066,1528,1635,644,378,3823,2348,4595,12303,1373,8224,3682,25058,3236,5565,1567,2395,2318,121,0,160,79,36,378,534,1180,927,1574,356,116,1114,2838,2096,523,120,153,2.29
140,QN54,62982,17358,4248,4142,4403,4910,5070,5176,4593,4577,4775,4992,4593,3528,2681,5294,58473,1185,795,1499,1609,2207,3627,2474,2514,962,486,11745,12481,13702,12550,1875,16218,11775,57299,5902,16429,8711,553,186,3973,109,41,154,91,46,98,446,3757,3272,83,181,1175,4108,3387,385,28,0,3.88
141,QN20,69317,23985,4881,4350,4220,4641,5421,6793,6497,5568,5072,4706,4610,3747,2861,5950,49776,2455,1206,2944,2269,3162,4207,3228,3034,876,604,12223,9681,15487,14783,2482,23965,7854,59469,3830,18307,10264,1558,49,203,0,98,238,48,71,40,331,1884,2766,137,258,2282,9953,4624,714,187,213,3.01
142,QN05,25063,7844,1460,1685,1815,2049,1937,1764,1643,1591,1798,2129,1996,1656,1234,2306,83647,250,141,337,541,1004,1237,1191,1746,990,407,2205,2180,5144,6773,189,5067,8138,25371,2317,3650,780,97,0,80,702,6,145,11,23,4,408,2859,1187,17,50,175,964,1254,441,16,6,3.6
143,SI32,20763,7335,1245,1430,1374,1340,1387,1302,1265,1493,1649,1565,1659,1374,1245,2435,83743,428,280,446,441,496,1211,1045,1210,861,917,2449,988,4447,6331,229,2462,6820,20708,1617,344,142,229,87,0,0,292,113,37,38,17,232,2113,3670,236,0,137,384,159,68,106,0,2.88
144,BK96,55326,20150,3462,3395,3566,3908,3951,3966,3710,3599,3687,4136,4303,3512,3110,7021,44027,2314,1280,2362,2266,3024,3555,2254,2031,675,389,10428,6215,13600,11259,1137,15484,7231,48636,5462,10389,794,22,37,41,1287,9,112,116,39,106,175,4039,1635,79,679,2772,7636,2431,302,24,19,2.65
145,BX52,44167,16846,2443,2623,2667,3370,3331,2751,2952,2956,3243,3367,3063,2649,2342,6410,67549,1486,995,1489,995,1579,2541,2570,3209,1077,905,6203,5574,10041,10922,1190,7243,12064,43430,5973,3218,3433,388,17,81,0,8,349,81,154,137,690,4781,2208,95,906,1439,2709,1946,664,82,67,2.78
146,BK21,31965,10864,1926,1979,2247,2799,2445,1819,1685,1639,1784,1970,2119,2000,1829,5724,23229,2781,1226,1711,900,1197,1346,593,617,300,193,9331,5532,5653,6032,913,5399,2693,26479,6543,2919,2089,1642,3565,113,180,6,93,35,24,26,109,860,462,78,3747,2531,1718,949,236,20,8,2.59
147,BK17,64518,25805,3276,3184,3135,3608,4216,4161,3901,4102,3938,4558,4928,4979,4882,11650,51314,2795,1788,2822,2486,2823,3967,2869,3735,1151,1369,10610,6990,12123,23496,2056,13906,11143,61362,9083,8431,1329,3953,10848,99,160,78,376,392,925,1179,1493,3324,5368,935,1820,2845,4159,2396,392,154,117,2.49
148,MN24,42742,19761,2499,1667,1200,1236,3921,5354,4943,4284,3423,2768,2455,2517,2248,4227,118931,1416,555,1182,821,1159,2012,1492,2814,2020,6290,3605,2742,2471,24907,6329,13186,1604,40594,2484,6402,647,3153,35,21,0,48,61,22,18,25,138,207,772,4474,951,2129,1803,1561,1615,1905,3862,2.09
149,BX55,35634,11340,2903,2699,2740,2979,3033,2886,2601,2404,2432,2339,2109,1777,1525,3207,30681,1788,1139,1920,1317,1605,1738,759,755,199,120,13095,8655,5851,4246,1067,9676,3012,31348,4286,9782,9297,142,0,652,56,45,184,68,87,44,145,828,379,0,1684,2456,4155,1291,197,34,0,3.14
150,BX09,53686,18834,3492,3761,4304,5123,4187,3358,3188,3294,3687,3762,3384,2916,2825,6405,36129,2708,1647,2674,2167,2444,2730,1693,1932,535,304,16997,9497,10795,8862,1130,10452,8235,51547,9833,5630,9503,80,0,25,42,1,416,124,177,182,779,3153,509,11,3650,4832,3314,1188,537,120,17,2.93
151,QN01,38894,12048,2613,2818,3019,3382,3108,2801,2514,2530,2776,2815,2666,2032,1669,4151,47732,1260,912,1288,1071,1702,2202,1721,1218,481,193,7678,5500,9189,6453,634,9166,6949,35319,4025,7244,2337,170,0,822,236,14,170,102,34,170,858,3270,796,79,1228,1434,1997,1416,361,21,55,3.41
